RH(%),Strain(%)
5.778191985088533, -4.845814977973569
8.946877912395152, -4.607929515418503
14.165890027958994, -4.361233480176212
21.43522833178006, -4.044052863436124
28.51817334575955, -3.7268722466960362
35.78751164958062, -3.400881057268723
42.31127679403541, -3.0837004405286352
49.487418452935685, -2.784140969162996
56.011183597390485, -2.511013215859032
62.5349487418453, -2.2378854625550666
69.0587138863001, -1.9559471365638776
74.83690587138862, -1.6563876651982383
80.80149114631874, -1.2951541850220272
89.93476234855545, -0.449339207048459
93.19664492078284, -0.21145374449339238
94.78098788443616, -8.881784197001252e-16
